,date,platform,marketing_channel,campaign_id,source_country,countries,total_impressions,total_clicks,total_app_installs,total_conversions,total_marketing_spend,total_revenue,ROAS,CPA,CPI,CPM,CR,CTR,platform_campaign
87,2023-11-05,android,Channel E,1769120303953937,DE,DE,204498,207,78,15,420.62,445.49,1.059127002995578,28.041333333333334,5.392564102564102,2.0568416317029996,7.246376811594203,0.10122348384825279,Channel E - android - DE - 1769120303953937
88,2023-11-05,iOS,Channel B,6492364605815,DE,DE,91560,348,3,1,623.7,25.0,0.040083373416706744,623.7,207.9,6.8119266055045875,0.28735632183908044,0.3800786369593709,Channel B - iOS - DE - 6492364605815
89,2023-11-05,iOS,Channel B,6519038436815,DE,DE,107453,384,77,9,637.74,309.1,0.4846802772289648,70.86,8.282337662337662,5.93505997971206,2.34375,0.3573655458665649,Channel B - iOS - DE - 6519038436815
90,2023-11-05,ios,Channel C,1023570237,DE,DE,457,26,10,1,35.59,25.0,0.7024445068839561,35.59,3.559,77.87746170678338,3.8461538461538463,5.689277899343545,Channel C - ios - DE - 1023570237
91,2023-11-05,ios,Channel C,1023585396,US,US,1925,140,73,9,307.2,260.8,0.8489583333333334,34.13333333333333,4.208219178082191,159.58441558441558,6.428571428571428,7.2727272727272725,Channel C - ios - US - 1023585396
92,2023-11-05,ios,Channel C,1023655231,US,US,298,106,47,9,133.2,242.16,1.818018018018018,14.799999999999999,2.8340425531914892,446.97986577181206,8.49056603773585,35.57046979865772,Channel C - ios - US - 1023655231
93,2023-11-05,ios,Channel C,1023678230,DE,DE,167,64,31,1,91.86,25.0,0.27215327672545175,91.86,2.963225806451613,550.0598802395209,1.5625,38.32335329341318,Channel C - ios - DE - 1023678230
94,2023-11-05,ios,Channel C,1023835841,DE,DE,1197,617,437,64,513.61,1865.38,3.6318996904265886,8.02515625,1.1753089244851258,429.0810359231412,10.372771474878444,51.54553049289892,Channel C - ios - DE - 1023835841
95,2023-11-05,ios,Channel C,1256454484,US,US,501,30,7,2,44.57,55.88,1.2537581332735024,22.285,6.367142857142857,88.96207584830339,6.666666666666667,5.9880239520958085,Channel C - ios - US - 1256454484
96,2023-11-05,ios,Channel C,1410804754,US,US,100,5,3,0,12.62,0.0,0.0,,4.206666666666666,126.19999999999997,0.0,5.0,Channel C - ios - US - 1410804754
97,2023-11-05,ios,Channel C,1411644825,US,US,21,5,2,1,8.91,18.63,2.090909090909091,8.91,4.455,424.2857142857143,20.0,23.809523809523807,Channel C - ios - US - 1411644825
98,2023-11-05,ios,Channel C,1412537821,DE,DE,1510,374,258,34,753.26,1223.5,1.6242731593340944,22.154705882352943,2.9196124031007753,498.8476821192053,9.090909090909092,24.7682119205298,Channel C - ios - DE - 1412537821
99,2023-11-06,android,Channel A,13570876685,DE,DE,49163,1374,676,55,1315.42,1840.28,1.399005640783932,23.916727272727275,1.9458875739644972,26.75630046986555,4.002911208151383,2.794784695807823,Channel A - android - DE - 13570876685
100,2023-11-06,android,Channel B,6154573222815,DE,DE,1029,3,1,0,21.17,0.0,0.0,,21.17,20.57337220602527,0.0,0.2915451895043732,Channel B - android - DE - 6154573222815
101,2023-11-06,android,Channel B,6318246682215,US,US,3193,21,7,2,47.15,74.52,1.5804878048780489,23.575,6.735714285714286,14.766677106169745,9.523809523809524,0.6576886940181648,Channel B - android - US - 6318246682215
102,2023-11-06,android,Channel B,6349421515615,DE,DE,116946,500,273,18,746.43,642.62,0.8609246680867597,41.468333333333334,2.734175824175824,6.382689446411164,3.5999999999999996,0.4275477570844663,Channel B - android - DE - 6349421515615
103,2023-11-06,android,Channel B,6411365672615,US,US,1835,11,9,0,19.86,0.0,0.0,,2.2066666666666666,10.822888283378747,0.0,0.5994550408719346,Channel B - android - US - 6411365672615
104,2023-11-06,android,Channel B,6521163384215,DE,DE,18734,64,19,0,136.4,0.0,0.0,,7.178947368421053,7.280879683997012,0.0,0.34162485320807084,Channel B - android - DE - 6521163384215
105,2023-11-06,android,Channel E,1763164645253137,DE,DE,66580,449,76,0,66.5,0.0,0.0,,0.875,0.9987984379693602,0.0,0.6743766896966056,Channel E - android - DE - 1763164645253137
106,2023-11-06,android,Channel E,1769120303953937,DE,DE,262673,249,83,15,414.1,475.92,1.149287611687998,27.60666666666667,4.989156626506024,1.5764848309495076,6.024096385542169,0.09479466865646641,Channel E - android - DE - 1769120303953937
107,2023-11-06,iOS,Channel B,6492364605815,DE,DE,78848,266,2,1,573.24,9.97,0.0173923661991487,573.24,286.62,7.270190746753247,0.37593984962406013,0.33735795454545453,Channel B - iOS - DE - 6492364605815
108,2023-11-06,iOS,Channel B,6519038436815,DE,DE,21979,99,106,7,204.89,297.85,1.4537068670994193,29.27,1.9329245283018868,9.32208016743255,7.07070707070707,0.4504299558669639,Channel B - iOS - DE - 6519038436815
